Date,TA_AVG,HM_AVG,WS_AVG,TD_AVG,SS_DAY
1994-02-04,-2.271840461,73.20017471,2.188060301,-6.67666256,4.610622909
1994-02-05,-1.352548984,78.80833438,2.218959141,-4.768029718,5.731572751
1994-02-06,0.010283458,82.75578276,2.08530244,-2.908850379,3.08507363
1994-02-07,1.143447894,74.41278375,2.494597234,-3.639061758,8.135760525
1994-02-08,-0.052882734,87.48981825,1.873332562,-1.991801279,4.335242032
1994-02-09,-4.268309105,81.39732123,5.584637231,-7.03764452,6.789853985
1994-02-10,-7.536948793,70.1283472,2.793022356,-12.74720146,9.244465938
1994-02-11,-4.030862161,82.16979215,1.845054442,-6.796939534,7.554002728
1994-02-12,-0.701768231,78.9888353,2.648959484,-4.16559118,5.863539518
1994-02-13,-3.916633636,68.01967282,3.10105139,-9.776928396,9.217616228
1994-02-14,-2.240136105,64.93739479,1.890325896,-9.394523248,8.537820719
1994-02-15,1.379295328,63.85332495,2.158833453,-5.261006943,3.802625635
1994-02-16,0.415642506,75.25645623,2.333216957,-3.973210725,7.768629304
1994-02-17,0.341259003,73.52771823,0.82516329,-4.855041796,8.610437842
1994-02-18,1.608400429,77.21139098,1.292379578,-2.525361742,7.324904403
1994-02-19,2.15434404,78.1193586,1.140944877,-1.999888458,7.323619118
1994-02-20,3.203229627,72.5613589,1.847298662,-2.197697725,6.11575836
1994-02-21,0.638080483,53.02026087,5.180044729,-8.56057098,9.560629125
1994-02-22,-1.008834199,60.69116995,2.540713789,-8.437673285,6.760259572
1994-02-23,0.941982268,61.51414296,3.041979549,-6.32929933,8.200270058
1994-02-24,-1.004515887,61.08659865,1.575328099,-8.897739503,9.142952461
1994-02-25,0.000309994,59.3292722,1.302264719,-7.874145983,8.524128618
1994-02-26,-0.389053713,63.23670825,0.990003317,-7.571409498,9.261355645
1994-02-27,1.570482595,64.96077116,1.42194809,-5.074746535,7.916954364
1994-02-28,1.706948264,58.40916651,3.505985646,-6.216875271,7.144466814
1994-03-01,-1.574059082,52.56718069,3.342238437,-10.77523783,9.836354127
1994-03-02,-0.569205313,61.13295899,2.351681542,-8.037442714,9.290420721
1994-03-03,1.235297024,71.17232347,2.033878909,-3.983647144,7.109865348
1994-03-04,2.55146021,82.79503334,1.648970654,-0.195475749,5.827367396
1994-03-05,2.724524556,77.78430757,1.798607394,-1.348951997,5.766227535
1994-03-06,4.485208043,71.87980188,2.032019636,-0.648778177,6.365627859
1994-03-07,7.297415082,82.69583267,2.443874715,4.39524476,4.428481235
1994-03-08,7.417559049,81.3153327,2.420706962,4.247997294,2.491334611
1994-03-09,-0.100858562,58.10383009,4.029336548,-7.630793722,4.652876751
1994-03-10,-2.212490558,52.25648825,3.764643866,-11.08806118,10.07690385
1994-03-11,1.04956601,70.01764888,1.946978373,-4.340578491,5.161905001
1994-03-12,1.973164717,77.04638204,2.273198678,-1.811005846,4.868284473
